,text,emotion
0,"Sana duyduğum arzu, kalbimin en derin köşelerinde saklı bir ateş gibi.",Arzu
1,"Gözlerin, içimde tarifsiz bir özlem ve tutku uyandırıyor.",Arzu
2,"Sana dokunma arzusu, tenimi yakıp kavuruyor.",Arzu
3,"Varlığın, içimde bastırılmaz bir istek yaratıyor.",Arzu
4,"Seninle olma düşüncesi, beni hayallere sürüklüyor.",Arzu
5,"Sesin, ruhumu okşayan bir melodi gibi, seni daha çok istememe neden oluyor.",Arzu
6,"Sana olan tutkum, her geçen gün daha da alevleniyor.",Arzu
7,"Yanında olsam, zamanın durmasını dilerdim.",Arzu
8,"Seninle geçireceğim bir an, ömrüme bedel.",Arzu
9,"Gülüşün, içimdeki tüm karanlığı aydınlatıyor.",Arzu
10,"Sana sahip olma arzusu, içimde bir fırtına gibi esiyor.",Arzu
11,"Seninle olmak, benim için en büyük mutluluk.",Arzu
12,"Sana duyduğum özlem, her geçen saniye artıyor.",Arzu
13,Seninle birlikte kaybolmak istiyorum.,Arzu
14,"Gözlerinde kendimi buluyorum, sana daha çok bağlanıyorum.",Arzu
15,"Sana dokunduğumda, sanki yeniden doğuyorum.",Arzu
16,Seninle bir ömür geçirmek istiyorum.,Arzu
17,"Kalbim, sadece senin için atıyor.",Arzu
18,"Seninle olmak, hayallerimin ötesinde.",Arzu
19,"Sana olan aşkım, sonsuz bir deniz gibi.",Arzu
20,Seninle her şey anlam kazanıyor.,Arzu
21,"Sana olan tutkum, beni ele geçiriyor.",Arzu
22,"Seninle birlikte olmak, beni tamamlıyor.",Arzu
23,"Sana olan arzum, hiç dinmeyen bir yangın gibi.",Arzu
24,Seninle birlikte yaşlanmak istiyorum.,Arzu
25,"Gözlerinde kaybolmak, en sevdiğim şey.",Arzu
26,"Seninle olmak, beni özgürleştiriyor.",Arzu
27,"Sana olan sevgim, her şeyin üstünde.",Arzu
28,"Seninle birlikte olmak, bir rüya gibi.",Arzu
29,"Sana olan tutkum, beni hayata bağlıyor.",Arzu
30,Seninle her anı yaşamak istiyorum.,Arzu
31,"Sana olan özlemim, dayanılmaz bir hal aldı.",Arzu
32,"Seninle olmak, beni mutlu ediyor.",Arzu
33,"Sana olan aşkım, beni değiştiriyor.",Arzu
34,"Seninle birlikte olmak, beni güçlendiriyor.",Arzu
35,"Sana olan tutkum, beni sürüklüyor.",Arzu
36,"Seninle birlikte olmak, beni yükseltiyor.",Arzu
37,"Sana olan arzum, beni büyülüyor.",Arzu
38,"Seninle birlikte olmak, beni iyileştiriyor.",Arzu
39,"Sana olan sevgim, beni sarıp sarmalıyor.",Arzu
40,"Seninle birlikte olmak, beni dönüştürüyor.",Arzu
41,"Sana olan tutkum, beni harekete geçiriyor.",Arzu
42,"Seninle birlikte olmak, beni tamamlıyor.",Arzu
43,"Sana olan özlemim, beni yiyip bitiriyor.",Arzu
44,"Seninle olmak, beni canlandırıyor.",Arzu
45,"Sana olan aşkım, beni aydınlatıyor.",Arzu
46,"Seninle birlikte olmak, beni huzurlu kılıyor.",Arzu
47,"Sana olan tutkum, beni cezbediyor.",Arzu
48,"Seninle birlikte olmak, beni güvende hissettiriyor.",Arzu
49,"Gözlerim seni arıyor, kalbim seni istiyor.",Arzu
50,"Her nefeste adını fısıldıyorum, seni delicesine arzuluyorum.",Arzu
51,Sanki ruhum seninle birleşmek için çırpınıyor.,Arzu
52,"Sana dokunmak, seni hissetmek, en büyük dileğim.",Arzu
53,"Aklımda sadece sen varsın, seni istiyorum.",Arzu
54,"Varlığın bana güç veriyor, seni daha çok istiyorum.",Arzu
55,"Sen benim için bir tutku, seni arzulamaktan kendimi alamıyorum.",Arzu
56,"Seninle geçen her an, ömrüme ömür katıyor.",Arzu
57,Seninle birlikteyken zamanın nasıl geçtiğini anlamıyorum.,Arzu
58,"Seninle bir hayat kurmak, en büyük hayalim.",Arzu
59,Seninle sonsuzluğa yolculuk yapmak istiyorum.,Arzu
60,"Sen benim için bir mucizesin, seni arzuluyorum.",Arzu
61,"Seninle birlikte olmak, benim için bir ödül.",Arzu
62,"Seninle olmak, beni tamamlıyor, seni istiyorum.",Arzu
63,"Seninle bir bütün olmak istiyorum, seni arzuluyorum.",Arzu
64,"Sen benim kaderimsin, seni delicesine istiyorum.",Arzu
65,"Sen benim güneşimsin, seni her zaman istiyorum.",Arzu
66,"Sen benim yıldızımsın, sana ulaşmak istiyorum.",Arzu
67,"Sen benim umudumsun, seni kaybetmek istemiyorum.",Arzu
68,"Sen benim her şeyimsin, seni sonsuza dek istiyorum.",Arzu
69,"Sana olan arzum, içimde büyüyen bir çiçek gibi.",Arzu
70,"Seninle olmak, ruhumun en derin arzusu.",Arzu
71,"Her düşündüğümde, sana olan arzum katlanıyor.",Arzu
72,"Sana dokunma hayali, içimde bir volkan gibi patlıyor.",Arzu
73,Seninle bir ömür boyu sürecek bir arzuyla yanıyorum.,Arzu
74,"Sana olan arzum, kalbimin en güzel melodisi.",Arzu
75,"Seninle olmak, tüm arzularımın gerçekleşmesi demek.",Arzu
76,"Sana olan arzum, beni hayata bağlayan en güçlü bağ.",Arzu
77,"Seninle olmak, sonsuz bir arzu denizinde yüzmek gibi.",Arzu
78,"Sana olan arzum, içimde saklı bir hazine gibi.",Arzu
79,"Sen benim rüyalarımdaki kadınsın, seni istiyorum.",Arzu
80,"Sen benim hayatımın anlamısın, seni arzuluyorum.",Arzu
81,"Sen benim aşkımsın, seni delicesine istiyorum.",Arzu
82,"Sen benim tutkumsun, seni her zaman arzuluyorum.",Arzu
83,"Sen benim ilham kaynağımsın, seni sonsuza dek istiyorum.",Arzu
84,"Sen benim en değerli varlığımsın, seni kaybetmek istemiyorum.",Arzu
85,"Sen benim ruh eşimsin, seni delicesine arzuluyorum.",Arzu
86,"Sen benim hayallerimin prensesisin, seni istiyorum.",Arzu
87,"Sen benim cennetimsin, seni her zaman arzuluyorum.",Arzu
88,"Sen benim kalbimin sultanısın, seni sonsuza dek istiyorum.",Arzu
89,"Sana olan arzum, beni her gün daha da güçlendiriyor.",Arzu
90,"Seninle olmak, tüm hayallerimi gerçeğe dönüştürüyor.",Arzu
91,"Sana olan arzum, içimde hiç sönmeyen bir ateş.",Arzu
92,"Seninle olmak, beni her zaman zirveye taşıyor.",Arzu
93,"Sana olan arzum, beni her zaman daha iyiye yönlendiriyor.",Arzu
94,"Seninle olmak, benim için en büyük ödül.",Arzu
95,"Sana olan arzum, beni her zaman motive ediyor.",Arzu
96,"Seninle olmak, beni her zaman mutlu ediyor.",Arzu
97,"Sana olan arzum, beni her zaman canlandırıyor.",Arzu
98,"Seninle olmak, benim için sonsuz bir mutluluk kaynağı.",Arzu
99,"Ne düşüneceğimi bilemiyorum, her şey çok karmaşık.",Kafa Karışıklığı
100,"Aklım bir düğüm gibi, çözmeye çalıştıkça daha da karışıyor.",Kafa Karışıklığı
101,"Bu durum beni allak bullak etti, ne yapacağımı şaşırdım.",Kafa Karışıklığı
102,"O kadar çok seçenek var ki, hangisini seçeceğimi kestiremiyorum.",Kafa Karışıklığı
103,"Bütün bilgiler birbirine girmiş durumda, net bir şey göremiyorum.",Kafa Karışıklığı
104,Kendimi bir labirentte kaybolmuş gibi hissediyorum.,Kafa Karışıklığı
105,Bu kadar çok soru işaretiyle başım dönüyor.,Kafa Karışıklığı
106,"Olayların içinden çıkamıyorum, her şey çok bulanık.",Kafa Karışıklığı
107,Karar vermem gereken çok şey var ama aklım karmakarışık.,Kafa Karışıklığı
108,Neyin doğru neyin yanlış olduğunu ayırt edemiyorum.,Kafa Karışıklığı
109,Zihnimde bir sis perdesi var sanki.,Kafa Karışıklığı
110,Bu kadar karmaşanın içinde kayboldum.,Kafa Karışıklığı
111,Düşüncelerim birbirine dolanmış iplik yumağı gibi.,Kafa Karışıklığı
112,"Her şey o kadar karışık ki, nereden başlayacağımı bilemiyorum.",Kafa Karışıklığı
113,Bu durum karşısında tamamen afalladım.,Kafa Karışıklığı
114,Aklım sanki bir girdapta dönüyor.,Kafa Karışıklığı
115,Bu kadar çok bilgiyle ne yapacağımı şaşırdım.,Kafa Karışıklığı
116,"Her şey birbirine zıt gibi, anlam veremiyorum.",Kafa Karışıklığı
117,Bu kadar karmaşık bir durumda doğru yolu bulmak çok zor.,Kafa Karışıklığı
118,Zihnimde yankılanan o kadar çok ses var ki.,Kafa Karışıklığı
119,"Hangi yöne gideceğimi kestiremiyorum, pusulam bozuldu sanki.",Kafa Karışıklığı
120,"Bu kadar çok olasılık varken, karar vermek imkansız.",Kafa Karışıklığı
121,"Her şey o kadar belirsiz ki, adım atmaya çekiniyorum.",Kafa Karışıklığı
122,Bu durum beni tam anlamıyla sersemletti.,Kafa Karışıklığı
123,Düşüncelerim birbiriyle yarışıyor ve ben hangisini dinleyeceğimi bilemiyorum.,Kafa Karışıklığı
124,Bu kadar çok ayrıntı arasında boğuluyorum.,Kafa Karışıklığı
125,"Her şey o kadar karmaşık ki, basitleştirmeye çalışsam da olmuyor.",Kafa Karışıklığı
126,Bu durum karşısında ne yapacağımı bilemez haldeyim.,Kafa Karışıklığı
127,Zihnimde bir fırtına kopuyor sanki.,Kafa Karışıklığı
128,Bu kadar çok seçenek beni felç etti.,Kafa Karışıklığı
129,"Her şey birbirine o kadar bağlı ki, birini çözsem diğeri karışıyor.",Kafa Karışıklığı
130,Bu durum karşısında tamamen çaresiz hissediyorum.,Kafa Karışıklığı
131,"Aklım bir bilmece gibi, çözmek için uğraştıkça daha da zorlaşıyor.",Kafa Karışıklığı
132,"Bu kadar çok ihtimal varken, hangisinin gerçekleşeceğini kestiremiyorum.",Kafa Karışıklığı
133,"Her şey o kadar muğlak ki, net bir şey göremiyorum.",Kafa Karışıklığı
134,Bu durum beni tam anlamıyla şaşkına çevirdi.,Kafa Karışıklığı
135,Düşüncelerim bir labirentte sıkışmış durumda.,Kafa Karışıklığı
136,Bu kadar çok bilgiyle ne yapacağımı şaşırdım kaldım.,Kafa Karışıklığı
137,"Her şey o kadar iç içe geçmiş ki, ayırt etmek imkansız.",Kafa Karışıklığı
138,Bu durum karşısında tamamen bocaladım.,Kafa Karışıklığı
139,Zihnimde bir karmaşa hüküm sürüyor.,Kafa Karışıklığı
140,Bu kadar çok karmaşanın içinde yolumu kaybettim.,Kafa Karışıklığı
141,"Her şey o kadar belirsiz ki, geleceği göremiyorum.",Kafa Karışıklığı
142,Bu durum beni tam anlamıyla allak bullak etti.,Kafa Karışıklığı
143,Düşüncelerim bir girdapta dönüp duruyor.,Kafa Karışıklığı
144,Bu kadar çok ihtimal beni kararsızlığa sürüklüyor.,Kafa Karışıklığı
145,"Her şey o kadar karmaşık ki, çözmeye çalışsam da başaramıyorum.",Kafa Karışıklığı
146,Bu durum karşısında tamamen şaşkınım.,Kafa Karışıklığı
147,Zihnimde bir sis perdesi var gibi hissediyorum.,Kafa Karışıklığı
148,Bu kadar çok karmaşanın içinde kaybolmuş gibiyim.,Kafa Karışıklığı
149,"Her şey o kadar iç içe ki, anlamlandırmakta zorlanıyorum.",Kafa Karışıklığı
150,Bu durum beni tam anlamıyla sersemletti.,Kafa Karışıklığı
151,"Aklım bir labirent gibi, çıkış yolunu bulamıyorum.",Kafa Karışıklığı
152,"Bu kadar çok olasılık varken, hangisinin doğru olduğunu bilemiyorum.",Kafa Karışıklığı
153,"Her şey o kadar muğlak ki, ne yapacağımı kestiremiyorum.",Kafa Karışıklığı
154,Bu durum beni tam anlamıyla şaşkına çevirdi.,Kafa Karışıklığı
155,Düşüncelerim birbiriyle çatışıyor ve ben hangisini dinleyeceğimi bilemiyorum.,Kafa Karışıklığı
156,Bu kadar çok ayrıntı arasında kayboluyorum.,Kafa Karışıklığı
157,"Her şey o kadar karmaşık ki, basitleştirmeye çalışsam da olmuyor.",Kafa Karışıklığı
158,Bu durum karşısında ne yapacağımı bilemez haldeyim.,Kafa Karışıklığı
159,"Zihnimde bir fırtına kopuyor sanki, düşüncelerim savruluyor.",Kafa Karışıklığı
160,"Bu kadar çok seçenek beni felç etti, karar veremiyorum.",Kafa Karışıklığı
161,"Her şey birbirine o kadar bağlı ki, birini çözsem diğeri karışıyor.",Kafa Karışıklığı
162,"Bu durum karşısında tamamen çaresiz hissediyorum, ne yapacağımı bilemiyorum.",Kafa Karışıklığı
163,"Aklım bir bilmece gibi, çözmek için uğraştıkça daha da zorlaşıyor.",Kafa Karışıklığı
164,"Bu kadar çok ihtimal varken, hangisinin gerçekleşeceğini kestiremiyorum.",Kafa Karışıklığı
165,"Her şey o kadar muğlak ki, net bir şey göremiyorum, her yer sisli.",Kafa Karışıklığı
166,"Bu durum beni tam anlamıyla şaşkına çevirdi, ne yapacağımı bilemez haldeyim.",Kafa Karışıklığı
167,"Düşüncelerim bir labirentte sıkışmış durumda, çıkış yolunu bulamıyorum.",Kafa Karışıklığı
168,"Bu kadar çok bilgiyle ne yapacağımı şaşırdım kaldım, aklım durdu.",Kafa Karışıklığı
169,"Her şey o kadar iç içe geçmiş ki, ayırt etmek imkansız, her şey birbirine karışmış.",Kafa Karışıklığı
170,"Bu durum karşısında tamamen bocaladım, ne yapacağımı şaşırdım.",Kafa Karışıklığı
171,"Zihnimde bir karmaşa hüküm sürüyor, düşüncelerim birbirine girmiş durumda.",Kafa Karışıklığı
172,"Bu kadar çok karmaşanın içinde yolumu kaybettim, nereye gideceğimi bilmiyorum.",Kafa Karışıklığı
173,"Her şey o kadar belirsiz ki, geleceği göremiyorum, her şey karanlık.",Kafa Karışıklığı
174,"Bu durum beni tam anlamıyla allak bullak etti, ne yapacağımı şaşırdım.",Kafa Karışıklığı
175,"Düşüncelerim bir girdapta dönüp duruyor, hiçbir şey net değil.",Kafa Karışıklığı
176,"Bu kadar çok ihtimal beni kararsızlığa sürüklüyor, ne seçeceğimi bilemiyorum.",Kafa Karışıklığı
177,"Her şey o kadar karmaşık ki, çözmeye çalışsam da başaramıyorum, aklım almıyor.",Kafa Karışıklığı
178,"Bu durum karşısında tamamen şaşkınım, ne yapacağımı bilemiyorum.",Kafa Karışıklığı
179,"Zihnimde bir sis perdesi var gibi hissediyorum, hiçbir şey net değil.",Kafa Karışıklığı
180,"Bu kadar çok karmaşanın içinde kaybolmuş gibiyim, yolumu bulamıyorum.",Kafa Karışıklığı
181,"Her şey o kadar iç içe ki, anlamlandırmakta zorlanıyorum, her şey birbirine karışmış.",Kafa Karışıklığı
182,"Bu durum beni tam anlamıyla sersemletti, ne yapacağımı şaşırdım.",Kafa Karışıklığı
183,"Hangisi doğru, hangisi yanlış, seçmekte zorlanıyorum.",Kafa Karışıklığı
184,"O kadar çok şey var ki aklımda, hiçbirini sıraya koyamıyorum.",Kafa Karışıklığı
185,"İçinden çıkılmaz bir durumdayım, ne yapsam bilemiyorum.",Kafa Karışıklığı
186,Her şeyin birbiriyle bağlantısı kopmuş gibi hissediyorum.,Kafa Karışıklığı
187,Zihnimde oluşan bu karmaşayı nasıl gidereceğimi bilmiyorum.,Kafa Karışıklığı
188,"Kendimi boşlukta hissediyorum, hiçbir şeye tutunamıyorum.",Kafa Karışıklığı
189,Bu kadar bilinmezlik içinde kaybolup gideceğim sanıyorum.,Kafa Karışıklığı
190,"Aklım darmadağın, toparlamaya gücüm yetmiyor.",Kafa Karışıklığı
191,"Ne düşüneceğimi, ne hissedeceğimi şaşırdım.",Kafa Karışıklığı
192,Bu karmaşa beni yiyip bitiriyor.,Kafa Karışıklığı
193,Her şey anlamsız gelmeye başladı.,Kafa Karışıklığı
194,Aklımın içinde bir savaş var sanki.,Kafa Karışıklığı
195,Bu belirsizlik beni hasta ediyor.,Kafa Karışıklığı
196,Nereye baksam bir çıkmaz görüyorum.,Kafa Karışıklığı
197,"Her şey o kadar karmaşık ki, hiçbir şeye odaklanamıyorum.",Kafa Karışıklığı
198,Bu durumdan nasıl kurtulacağımı bilmiyorum.,Kafa Karışıklığı
199,Her şey üstüme üstüme geliyor gibi hissediyorum.,Kafa Karışıklığı
200,Bu kadar çok soruya cevap bulmak imkansız.,Kafa Karışıklığı
201,Kendimi bir çıkmaz sokağın sonunda hissediyorum.,Kafa Karışıklığı
202,Hiçbir şey eskisi gibi değil.,Kafa Karışıklığı
203,Bu kadar karmaşa beni tüketiyor.,Kafa Karışıklığı
204,Aklımın içindeki bu düğümü çözemiyorum.,Kafa Karışıklığı
205,"Her şey birbirine girmiş, hiçbir şey net değil.",Kafa Karışıklığı
206,Bu karmaşanın içinde boğuluyorum.,Kafa Karışıklığı
207,"Aklım bulanık, hiçbir şey düşünemiyorum.",Kafa Karışıklığı
208,Bu durum beni çok yordu.,Kafa Karışıklığı
209,"Her şey bir anda oldu, ne olduğunu anlamadım.",Kafa Karışıklığı
210,Bu kadar çok şeyle başa çıkmak zor.,Kafa Karışıklığı
211,Kendimi çok yorgun hissediyorum.,Kafa Karışıklığı
212,Kalbimde derin bir boşluk hissediyorum.,Üzüntü
213,"Gözlerim doluyor, engel olamıyorum.",Üzüntü
214,İçimde bir şeyler kırıldı sanki.,Üzüntü
215,Her şey anlamsız geliyor şu an.,Üzüntü
216,Yüzüm gülse de içim kan ağlıyor.,Üzüntü
217,Keşke her şey farklı olsaydı.,Üzüntü
218,Umutlarım birer birer tükeniyor.,Üzüntü
219,Kendimi çok yalnız hissediyorum.,Üzüntü
220,Hayat bana çok acımasız davranıyor.,Üzüntü
221,Neden böyle olmak zorunda?,Üzüntü
222,Her şey üstüme üstüme geliyor.,Üzüntü
223,Ne kadar çabalasam da olmuyor.,Üzüntü
224,Geceler uykusuz geçiyor.,Üzüntü
225,Kimse beni anlamıyor.,Üzüntü
226,İçimde bir fırtına kopuyor.,Üzüntü
227,Ne yapacağımı bilemiyorum.,Üzüntü
228,Gözyaşlarım sel olup akıyor.,Üzüntü
229,Her şey çok zor geliyor.,Üzüntü
230,Kendimi kaybolmuş hissediyorum.,Üzüntü
231,Nereye gitsem bilmiyorum.,Üzüntü
232,İçimde kapanmayan bir yara var.,Üzüntü
233,Hiçbir şey eskisi gibi olmayacak.,Üzüntü
234,Gülmeyi unuttum.,Üzüntü
235,Hayata tutunmak çok zor.,Üzüntü
236,Kendimi çok güçsüz hissediyorum.,Üzüntü
237,Her şey çok karanlık.,Üzüntü
238,Neden ben?,Üzüntü
239,Hayat adil değil.,Üzüntü
240,"İçimde bir acı var, geçmiyor.",Üzüntü
241,Keşkelerim hiç bitmiyor.,Üzüntü
242,Hatıralar canımı yakıyor.,Üzüntü
243,Gelecekten umudum yok.,Üzüntü
244,Her şey boşuna sanki.,Üzüntü
245,Kendimi değersiz hissediyorum.,Üzüntü
246,Kimseye derdimi anlatamıyorum.,Üzüntü
247,Konuşacak halim bile yok.,Üzüntü
248,Sadece yalnız kalmak istiyorum.,Üzüntü
249,Her şey çok karmaşık.,Üzüntü
250,Kendimi tükenmiş hissediyorum.,Üzüntü
251,Artık dayanamıyorum.,Üzüntü
252,Yaralarım kabuk bağlamıyor.,Üzüntü
253,Her şey çok anlamsız.,Üzüntü
254,İçimdeki yangın sönmüyor.,Üzüntü
255,Kendimi unutmuş gibiyim.,Üzüntü
256,Hayata küstüm.,Üzüntü
257,Kalbim ağrıyor.,Üzüntü
258,Hiçbir şey iyi gitmiyor.,Üzüntü
259,Kendimi bir çıkmazda hissediyorum.,Üzüntü
260,Çaresizlik içindeyim.,Üzüntü
261,Artık hiçbir şey hissetmiyorum.,Üzüntü
262,Ruhum daralıyor.,Üzüntü
263,Her şey üzerime geliyor.,Üzüntü
264,Kendimi çok yalnız hissediyorum.,Üzüntü
265,Hayat bana çok acımasız.,Üzüntü
266,Neden bu kadar zor?,Üzüntü
267,Gözlerimden yaşlar süzülüyor.,Üzüntü
268,İçimde büyük bir boşluk var.,Üzüntü
269,Her şey anlamını yitirdi.,Üzüntü
270,Umutlarım suya düştü.,Üzüntü
271,Keşke her şey farklı olsaydı.,Üzüntü
272,Kendimi çok çaresiz hissediyorum.,Üzüntü
273,Geceler bitmek bilmiyor.,Üzüntü
274,Kimse beni anlamıyor gibi.,Üzüntü
275,İçimde bir fırtına kopuyor.,Üzüntü
